Sample	TotalCallCount	HetSiteCount	TotalMonomorphicCount	HomRefCount	HomAltCount	HeterozygosityPerSite
89_Elut_MED_28	2209	1	2208	2161	47	0.000452693526483
90_Elut_KUR_20	2209	2	2207	2160	47	0.000905387052965
91_Elut_KUR_21	2209	1	2208	2161	47	0.000452693526483
92_Elut_KUR_22	2209	1	2208	2161	47	0.000452693526483
93_Elut_KUR_23	2207	1	2206	2159	47	0.000453103760761
94_Elut_AL_AD_GE91115	2130	1	2129	2085	44	0.000469483568075
95_Elut_AL_AD_GE91118	2209	1	2208	2161	47	0.000452693526483
96_Elut_AL_AD_GE91106	2208	1	2207	2160	47	0.000452898550725
97_Elut_AL_AM_AM92087	2209	2	2207	2160	47	0.000905387052965
98_Elut_AL_AM_AM92047	2159	2	2157	2111	46	0.000926354793886
99_Elut_AL_AM_AM92059	2209	1	2208	2161	47	0.000452693526483
